Id;Title;Year;Journal;First_Author;Abstract;Year_class
190;APRIL polymorphism and systemic lupus erythematosus (SLE) susceptibility.;2007;Rheumatology (Oxford, England);Lee YH;OBJECTIVE: Two novel non-synonymous polymorphisms of the APRIL gene, codon 67 (rs11552708) and 96 (rs3803800), were recently identified and tested for disease  association. The 67G allele was reported to be associated with systemic lupus erythematosus (SLE) in a Japanese population. The aim of the study is to investigate whether the APRIL polymorphism associated with susceptibility to SLE  in a Japanese population is associated with the susceptibility to SLE in other ethnic groups. METHODS: Three hundred and forty-eight SLE patients (204 European-American, 103 African-American and 41 Hispanic) and 345 ethnicity-matched controls (201 European-American, 104 African-American and 40 Hispanic) were included from the Lupus Multiplex Registry and Repository (LMRR) and evaluated for genetic association. The APRIL codon 67 and codon 96 were genotyped by a 3-base extension method. Statistical evaluations were performed using both chi-square and logistic regression analysis. RESULTS: Both the single-nucleotide polymorphisms (SNPs) were in Hardy-Weinberg equilibrium in cases and controls within each ethnic group. The APRIL codon 67 was significantly associated with SLE risk under the dominant model adjusted by ethnicity (odds ratio, 95% confidence interval and P-values were 1.45 and 1.02-2.06 and 0.036, respectively). Race-specific analysis also showed a trend for association in African-American and Hispanic SLE subjects. CONCLUSION The APRIL codon G67R polymorphism associated with SLE in a Japanese population may also be associated  with SLE in other populations.;2007-2009
191;Bosentan use in systemic lupus erythematosus patients with pulmonary arterial hypertension.;2007;Lupus;Mok MY;Pulmonary arterial hypertension (PAH) in patients with systemic lupus erythematosus (SLE) is uncommon but is associated with poor survival. This study  aimed to examine the long-term effects of bosentan, a dual endothelin-1 receptor  antagonist, on symptomatology, haemodynamics and quality of life measures in SLE  patients with symptomatic PAH. Four local patients had been followed up prospectively with pre-defined protocol during 12-months of bosentan treatment. Six minute walk distance (6MWD), NYHA functional class, Borg Dyspnoea Index (BDI) and SF-36 were measured at 0, 3, 6, 9 and 12 months. Systolic pulmonary arterial  pressure (PAP) was measured by transthoracic echocardiography at zero, six and 12 months. Clinical parameters were analysed, pooling data from other SLE patients reported in the literature (n = 4). Bosentan was found to result in significant improvement in 6MWD compared to baseline [+24.8 m, +26.2 m, +54 m and +62.7 m at  three (P = 0.001), six (P = 0.001), nine (P = 0.24) and 12 (P = 0.01) months respectively]. A differential effect was found with greater response in patients  with lower exercise capacity. This was accompanied by decrease in NYHA functional class, BDI, transient or sustained drop in systolic PAP and mild improvement in SF-36 domains including mental health, vitality, social function and general health. Significantly deranged liver function was found in one patient.;2007-2009
192;Activation signal transduction by beta1 integrin in T cells from patients with systemic lupus erythematosus.;2007;Arthritis and rheumatism;Nakayamada S;OBJECTIVE: Beta 1 integrin is a representative adhesion molecule for cell-cell and cell-extracellular matrix interactions, and it provides costimulatory signals to T cells. However, the relevance of beta1 integrin to T cell activation in systemic lupus erythematosus (SLE) remains unclear. We undertook this study to perform a quantitative and functional analysis of beta1 integrin-mediated signaling to T cells in patients with SLE. METHODS: Expression of cell surface molecules was assessed by flow cytometric analysis. Engagement of beta1 integrins was performed by crosslinking using a specific monoclonal antibody. To assess tyrosine kinases in beta1 integrin-mediated signaling, the cells were transfected with a wild-type (WT) focal adhesion kinase (FAK), a dominant-negative truncation of the FAK, or a WT PTEN expression plasmid via nucleofection. RESULTS: Beta 1 integrin expression was significantly up-regulated on peripheral blood T cells from patients with active SLE, particularly those with the complication of World  Health Organization class IV nephritis, whereas CD28 was significantly decreased  in patients with active SLE compared with normal individuals. Beta 1 integrin expression closely correlated with serum hypocomplementemia. Engagement of beta1  integrin on T cells from patients with active SLE, but not on those from normal individuals, induced cell proliferation as well as CD40L expression on T cells. Up-regulation of CD40L expression and T cell proliferation, induced by beta1 integrin stimulation, were completely inhibited by transfection of the dominant-negative truncations of FAK or WT PTEN. CONCLUSION: These results suggest that engagement of beta1 integrins on SLE T cells could induce FAK-mediated signaling and subsequent CD40L expression and proliferation. Thus, the beta1 integrin signaling cascade might serve to enhance autoreactive T cell activation.;2007-2009
193;The systemic lupus erythematosus Tri-Nation study: cumulative indirect costs.;2007;Arthritis and rheumatism;Panopalis P;OBJECTIVE: We previously reported that patients with systemic lupus erythematosus (SLE) in the US incurred approximately 19% and 12% higher direct medical costs than patients in Canada and the UK, respectively, without experiencing superior outcomes expressed as disease damage or quality of life. In the present study, we compared cumulative indirect costs over 4 years in these patients. METHODS: A total of 715 patients with SLE (269 US, 231 Canada, 215 UK) were surveyed semiannually for 4 years on employment status and time lost from labor and nonlabor market activities. Cross-country comparisons of indirect costs were performed. RESULTS: In the US, Canada, and the UK, mean 4-year cumulative indirect costs (95% confidence interval [95% CI]) due to diminished labor market  activity were $56,745 ($49,919, $63,571), $38,642 ($32,785, $44,500), and $42,213 ($35,859, $48,567), respectively, and cumulative indirect costs due to diminished nonlabor market activity were $5,249 ($2,766, $7,732), $5,455 ($3,290, $7,620), and $8,572 ($5,626, $11,518), respectively. Regression results showed that cumulative indirect costs (95% CI) due to diminished labor market activity in the US were $6,750 ($580, $12,910) greater than in Canada and $10,430 ($4,050, $16,800) greater than in the UK. Indirect costs due to diminished nonlabor market activity in the US were $280 (-$2,950, $3,520) less than in Canada and $2,010 (-$1,490, $5,510) less than in the UK, both results insignificant due to wide CIs. CONCLUSION: Despite American patients incurring greater direct medical costs than Canadian and British patients, they do not experience superior health outcomes in terms of less productivity loss in either labor market or nonlabor market activities. AD  - McGill University, Montreal, Que-bec, Canada.;2007-2009
194;Association of a CD24 gene polymorphism with susceptibility to systemic lupus erythematosus.;2007;Arthritis and rheumatism;Sanchez E;OBJECTIVE: To determine the potential role of the CD24 A57V gene polymorphism in  systemic lupus erythematosus (SLE). METHODS: We studied 3 cohorts of Caucasian patients and controls. The Spanish cohort included 696 SLE patients and 539 controls, the German cohort included 257 SLE patients and 317 controls, and the Swedish cohort included 310 SLE patients and 247 controls. The CD24 A57V polymorphism was genotyped by polymerase chain reaction, using a predeveloped TaqMan allele discrimination assay. Odds ratios (ORs) and 95% confidence intervals (95% CIs) were calculated. RESULTS: In the Spanish cohort there was a statistically significant difference in the distribution of the CD24 V allele between SLE patients and controls (OR 3.6 [95% CI 2.13-6.16], P < 0.0001). In addition, frequency of the CD24 V/V genotype was increased in SLE patients compared with controls (OR 3.7 [95% CI 2.16-6.34], P < 0.00001). We sought to replicate this association with SLE in a German population and a Swedish population. A similar trend was found in the German group. The CD24 V/V genotype  and the CD24 V allele were more frequent in SLE patients than in controls, although this difference was not statistically significant. No differences were observed in the Swedish group. A meta-analysis of the Spanish and German cohorts  demonstrated that the CD24 V allele has a risk effect in SLE patients (pooled OR  1.25 [95% CI 1.08-1.46], P = 0.003). In addition, homozygosity for the CD24 V risk allele significantly increased the effect (pooled OR 2.19 [95% CI 1.50-3.22], P = 0.00007). CONCLUSION: These findings suggest that the CD24 A57V polymorphism plays a role in susceptibility to SLE in a Spanish population. AD  - Instituto de Parasitologia y Biomedicina Lopez-Neyra, CSIC, Granada, Spain.;2007-2009
195;Menopause hormonal therapy in women with systemic lupus erythematosus.;2007;Arthritis and rheumatism;Sanchez-Guerrero J;OBJECTIVE: To evaluate the effects of menopause hormonal therapy on disease activity in women with systemic lupus erythematosus (SLE). METHODS: We conducted  a double-blind, randomized clinical trial involving 106 women with SLE who were in the menopausal transition or in early or late postmenopause. Patients received a continuous-sequential estrogen-progestogen regimen (n = 52) or placebo (n = 54). Disease activity was assessed at baseline and at 1, 2, 3, 6, 9, 12, 15, 18,  21, and 24 months, according to the SLE Disease Activity Index (SLEDAI). The primary outcome measure was global disease activity, estimated by measuring the area under the SLEDAI curve. Secondary outcome measures included maximum SLEDAI score, change in SLEDAI score, incidence of lupus flares, median time to flare, medication use, and adverse events. Results were studied using intent-to-treat analysis. RESULTS: At baseline, demographic and disease characteristics were similar in both groups. Mean +/- SD SLEDAI scores were 3.5 +/- 3.3 and 3.1 +/- 3.4 in the menopause hormonal therapy and placebo groups, respectively (P = 0.57). Disease activity remained mild and stable in both groups throughout the trial. There were no significant differences between the groups in global or maximum disease activity, incidence or probability of flares, or medication use.  Median time to flare was 3 months in both groups. Thromboses occurred in 3 patients who received menopause hormonal therapy and in 1 patient who received placebo. One patient in each group died during the trial due to sepsis. CONCLUSION: Menopause hormonal therapy did not alter disease activity during 2 years of treatment. However, an apparently increased risk of thrombosis seems to  be a real threat in women with SLE who receive menopausal hormone therapy.;2007-2009
196;Risk factors for amenorrhea in juvenile systemic lupus erythematosus (JSLE): a Brazilian multicentre cohort study.;2007;Lupus;Silva CA;"We evaluated the prevalence and clinical associations of amenorrhea in 298 female juvenile systemic lupus erythematosus (JSLE) patients (ACR criteria) followed in  12 Brazilian Paediatric Rheumatology centres. Amenorrhea was observed in 35 patients (11.7%) with a mean duration of 7.2 +/- 3.6 months. The hormones were performed in 32/35 patients and none of them had FSH and LH levels above and estradiol below the normal range according to pubertal changes. JSLE patients with amenorrhea were younger (15.04 +/- 2.5 versus 17.8 +/- 3.1 years; P = 0.001), and had a shorter period of time between menarche and current age (3.4 +/- 2.9 versus 6.7 +/- 5.4 years; P = 0.001). Interestingly, the frequency, cumulative dose, number of pulses and duration of intravenous cyclophosphamide treatment were alike in patients with and without amenorrhea (P > 0.05). In contrast, patients with amenorrhea had significantly higher SLEDAI (P = 0.01) and SLICC/ACR-DI (P = 0.024) scores compared to those without this condition. Independent risk factors identified by multivariate analysis were higher SLEDAI (OR = 1.059; CI = 1.004-1.116; P = 0.034) and SLICC/ACR-DI (OR = 2.125; IC = 1.373-3.291; P = 0.001) scores. Our data suggest that in spite of immunosuppressive therapy, JSLE patients have an adequate ovarian follicular reserve and amenorrhea is particularly associated with disease activity and damage.";2007-2009
197;The efficacy of vitamin E against oxidative damage and autoantibody production in systemic lupus erythematosus: a preliminary study.;2007;Clinical rheumatology;Maeshima E;"The hypothesis that reactive oxygen species (ROS) modification of DNA is involved in the development of autoantibodies in systemic lupus erythematosus (SLE) is supported by the enhanced reactivity of anti-DNA antibodies to ROS-denatured DNA. We studied the efficacy of vitamin E against both oxidative DNA damage and autoantibody production in SLE. Urinary 8-hydroxydeoxyguanosine (8-OHdG), an indicator of oxidative DNA damage, and the anti-double-stranded DNA (anti-ds DNA) antibody, a predictor of disease activity, were assayed twice, first during the season with the most intense sunlight and then later in the year. Twelve women among 36 outpatients received vitamin E (150 to 300 mg/day) together with prednisolone (PSL). No significant age or daily dose of PSL differences were evident between patient groups. Urinary 8-OHdG in the PSL with vitamin E group (15.0 +/- 10.2 ng/mg during the period of intense sunlight and 11.7 +/- 8.7 ng/mg during the remainder of the year) did not differ significantly from that in the PSL without vitamin E group (20.0 +/- 23.2 and 11.0 +/- 5.9 ng/mg, at these respective times), but the anti-ds DNA antibody titer in the PSL with vitamin E group (17.9 +/- 20.3 IU/l during the period of intense sunlight and 16.3 +/- 19.4 IU/l during the remainder of the year) was significantly lower than that in the PSL without vitamin E group for both sunlight-defined periods (66.3 +/- 76.8 and  55.8 +/- 59.0 IU/l, at these respective times; P < 0.05). The present study suggests that vitamin E can suppress autoantibody production via a mechanism independent of antioxidant activity. ";2007-2009
198;Expression profile of FcgammaRIIb on leukocytes and its dysregulation in systemic lupus erythematosus.;2007;Journal of immunology (Baltimore, Md. : 1950);Su K;FcgammaRIIb (CD32B, Online Mendelian Inheritance in Man 604590), an IgG FcR with  a tyrosine-based inhibitory motif, plays a critical role in the balance of tolerance and autoimmunity in murine models. However, the high degree of homology between FcgammaRIIb and FcgammaRIIa in humans and the lack of specific Abs to differentiate them have hampered study of the normal expression profile of FcgammaRIIb and its potential dysregulation in autoimmune diseases such as systemic lupus erythematosus (SLE). Using our newly developed anti-FcgammaRIIb mAb 4F5 which does not react with FcgammaRIIa, we found that FcgammaRIIb is expressed on the cell surface of circulating B lymphocytes, monocytes, neutrophils, myeloid dendritic cells (DCs), and at very low levels on plasmacytoid DCs from some donors. Normal donors with the less frequent 2B.4 promoter haplotype have higher FcgammaRIIb expression on monocytes, neutrophils,  and myeloid DCs similar to that reported for B lymphocytes, indicating that FcgammaRIIb expression on both myeloid and lymphoid cells is regulated by the naturally occurring regulatory single nucleotide polymorphisms in the FCGR2B promoter. FcgammaRIIb expression in normal controls is up-regulated on memory B lymphocytes compared with naive B lymphocytes. In contrast, in active SLE, FcgammaRIIb is significantly down-regulated on both memory and plasma B lymphocytes compared with naive and memory/plasma B lymphocytes from normals. Similar down-regulation of FcgammaRIIb on myeloid-lineage cells in SLE was not seen. Our studies demonstrate the constitutive regulation of FcgammaRIIb by natural gene polymorphisms and the acquired dysregulation in SLE autoimmunity, which may identify opportunities for using this receptor as a therapeutic target.;2007-2009
199;A multicenter phase I/II trial of rituximab for refractory systemic lupus erythematosus.;2007;Modern rheumatology / the Japan Rheumatism Association;Tanaka Y;Although corticosteroids and immunosuppressants are widely used for the treatments of systemic lupus erythematosus (SLE), safer and more effective therapies are prerequisite. We and others have reported that anti-CD20 antibody rituximab targeting B cells are effective for refractory SLE and, therefore, safety and clinical efficacy of rituximab in SLE was evaluated by a multicenter phase I/II clinical trial. An open-label, multicenter study of 15 patients with active and refractory SLE (total British Isles Lupus Assessment Group [BILAG] score 8 to 17) was conducted. Rituximab was administered to 5 SLE patients as 4 infusions of 500 mg/body every week and to 10 SLE patients as 2 infusions of 1000 mg/body every other week. Assessment of safety, infusion reactions and adverse effects was used as the primary outcome for clinical tolerability and was evaluated by 28 weeks. Rituximab was well tolerated, with most experiencing no significant adverse effects. B cells rapidly reduced in all patients and remained low until 6 months post-treatment. Four patients developed human antichimeric antibodies without affecting efficacy of rituximab. Changes in routine safety laboratory tests clearly related to rituximab were not observed. Nine among 14 evaluable patients achieved the major or partial clinical response of BILAG score and prednisolone dose significantly decreased at the 28 weeks. Rituximab therapy  appears to be safe for the treatment of active SLE patients and holds significant therapeutic promise, at least for the majority of patients experiencing profound  B-cell depletion.;2007-2009
200;Efficacy of rituximab (anti-CD20) for refractory systemic lupus erythematosus involving the central nervous system.;2007;Annals of the rheumatic diseases;Tokunaga M;AIM: Neuropsychiatric systemic lupus erythematosus (NPSLE) is a serious treatment-resistant phenotype of systemic lupus erythematosus. A standard treatment for NPSLE is not available. This report describes the clinical and laboratory tests of 10 patients with NPSLE before and after rituximab treatment,  including changes in lymphocyte phenotypes. METHODS: Rituximab was administered at different doses in 10 patients with refractory NPSLE, despite intensive treatment. RESULTS: Treatment with rituximab resulted in rapid improvement of central nervous system-related manifestations, particularly acute confusional state. Rituximab also improved cognitive dysfunction, psychosis and seizure, and  reduced the SLE Disease Activity Index Score at day 28 in all 10 patients. These  effects lasted for >1 year in five patients. Flow cytometric analysis showed that rituximab down regulated CD40 and CD80 on B cells and CD40L, CD69 and inducible costimulator on CD4+ T cells. CONCLUSIONS: Rituximab rapidly improved refractory  NPSLE, as evident by resolution of various clinical signs and symptoms and improvement of radiographic findings. The down regulation of functional molecules on B and T cells suggests that rituximab modulates the interaction of activated B and T cells through costimulatory molecules. These results warrant further analysis of rituximab as treatment for NPSLE.;2007-2009
201;Clinical manifestations and coronary artery disease risk factors at diagnosis of  systemic lupus erythematosus: data from an international inception cohort.;2007;Lupus;Urowitz MB;Systemic Lupus International Collaborating Clinics (SLICC) comprises 27 centres from 11 countries. An inception cohort of 918 SLE patients has been assembled according to a standardized protocol between 2000 and 2006. Clinical features, classic coronary artery disease (CAD) risk factors, as well as other potential risk factors were collected. Of the 918 patients 89% were females, and of multi racial origin. Less than half the patients were living in a permanent relationship, 58% had post secondary education and 51% were employed. Eight percent had family history of SLE. At enrolment, with at mean age of diagnosis of 34.5 years, a significant number of patients already had CAD risk factors, such as hypertension (33%) and hypercholesterolemia (36%). Only 15% of the patients were postmenopausal, 16% were current smokers and 3.6% had diabetes at entry to the SLICC-RAS (Registry for Atherosclerosis). A number of patients in this multi-racial, multi-ethnic inception cohort of lupus patients have classic CAD risk factors within a mean of 5.4 months from diagnosis. This cohort will be increased to 1500 patients to be followed yearly for 10 years. This will provide  a unique opportunity to evaluate risk factors for accelerated atherosclerosis in  SLE.;2007-2009
202;Deficient CD4+CD25high T regulatory cell function in patients with active systemic lupus erythematosus.;2007;Journal of immunology (Baltimore, Md. : 1950);Valencia X;CD4(+)CD25(+) T regulatory cells (Tregs) play an essential role in maintaining immunologic homeostasis and preventing autoimmunity. Systemic lupus erythematosus (SLE) is a systemic autoimmune disease characterized by a loss of tolerance to nuclear components. We hypothesized that altered function of CD4(+)CD25(high) Tregs might play a role in the breakdown of immunologic self-tolerance in patients with SLE. In this study, we report a significant decrease in the suppressive function of CD4(+)CD25(high) Tregs from peripheral blood of patients  with active SLE as compared with normal donors and patients with inactive SLE. Notably, CD4(+)CD25(high) Tregs isolated from patients with active SLE expressed  reduced levels of FoxP3 mRNA and protein and poorly suppressed the proliferation  and cytokine secretion of CD4(+) effector T cells in vitro. In contrast, the expression of FoxP3 mRNA and protein and in vitro suppression of the proliferation of CD4(+) effector T cells by Tregs isolated from inactive SLE patients, was comparable to that of normal individuals. In vitro activation of CD4(+)CD25(high) Tregs from patients with active SLE increased FoxP3 mRNA and protein expression and restored their suppressive function. These data are the first to demonstrate a reversible defect in CD4(+)CD25(high) Treg function in patients with active SLE, and suggest that strategies to enhance the function of  these cells might benefit patients with this autoimmune disease.;2007-2009
203;Treatment with rituximab affects both the cellular and the humoral arm of the immune system in patients with SLE.;2007;Clinical immunology (Orlando, Fla.);Vallerskog T;"Herein we investigated how rituximab-induced B cell depletion affected leukocyte  subpopulations and antibody titers in SLE patients. We focused our analysis on time points related to absence and return of B cells after depletion. A correlation was found between the baseline frequency and time to repopulation; the fewer B cells initially, the longer to their return. While the few B cells remaining after treatment were of memory, double-negative (IgD-CD27-), and CD5+ phenotype, the returning B cells were mainly naive, indicating de novo production of B cells. Serum levels of IgG and antibodies against Ro52, Ro60, La44, measles  and tetanus remained unchanged, while decreases in IgM, IgE, anti-dsDNA and anti-C1q antibodies were observed. Additionally, a significant increase in activated CD4+ and CD8+ T cells, as well as CD25bright FOXP3+ regulatory T cells  was observed. In conclusion, both the humoral and the cellular immune systems were affected by treatment with rituximab.";2007-2009
204;Effect of detoxification, removing stasis and nourishing yin method on corticosteroid-induced hyperlipidemia in patients with systemic lupus erythematosus.;2007;Chinese journal of integrative medicine;Wen CP;OBJECTIVE: To observe the effect of TCM therapy for detoxification, removing stasis, and nourishing yin on corticosteroid-induced hyperlipemia in patients with systemic lupus erythematosus (SLE), and to investigate its mechanism. METHODS: One hundred and seventy patients with SLE were randomly assigned to the  integrative medicine group (IM group) and the Western medicine group (WM group),  85 in each group. Also, 30 healthy subjects selected from blood donors were enrolled in the normal control (NC) group. All patients were treated mainly with  prednisone, while those in the IM group were given TCM therapy additionally, and  the therapeutic course for both groups was 6 successive months. The changes of serum total cholesterol (TC), triglyceride (TG), high density lipoprotein cholesterol (HDL-C), low density lipoprotein cholesterol (LDL-C), very low density lipoprotein cholesterol (VLDL-C) and apolipoprotein A (ApoA) were determined and observed. A 2-year follow-up study was carried out in 16 patients  of the WM group and 25 of the IM group. RESULTS: Before treatment, no significant difference had been found among the three groups in the serum levels of lipids and lipoproteins. After the 6-month treatment, as compared with the WM group, the IM group showed lower levels of TC, TG, LDL-C, and VLDL-C (P<0.05 or P<0.01) and  higher levels of HDL-C and ApoA (P<0.05). A similar effect was also shown by the  follow-up study in the IM group (P<0.05 or P<0.01). CONCLUSION: TCM therapy for detoxification, removing stasis, and nourishing yin can effectively regulate the  levels of serum lipids and lipoproteins in preventing and treating SLE patients with corticosteroid-induced hyperlipemia.;2007-2009
205;British Isles Lupus Assessment Group 2004 index is valid for assessment of disease activity in systemic lupus erythematosus.;2007;Arthritis and rheumatism;Yee CS;OBJECTIVE: To determine the construct and criterion validity of the British Isles Lupus Assessment Group 2004 (BILAG-2004) index for assessing disease activity in  systemic lupus erythematosus (SLE). METHODS: Patients with SLE were recruited into a multicenter cross-sectional study. Data on SLE disease activity (scores on the BILAG-2004 index, Classic BILAG index, and Systemic Lupus Erythematosus Disease Activity Index 2000 [SLEDAI-2K]), investigations, and therapy were collected. Overall BILAG-2004 and overall Classic BILAG scores were determined by the highest score achieved in any of the individual systems in the respective index. Erythrocyte sedimentation rates (ESRs), C3 levels, C4 levels, anti-double-stranded DNA (anti-dsDNA) levels, and SLEDAI-2K scores were used in the analysis of construct validity, and increase in therapy was used as the criterion for active disease in the analysis of criterion validity. Statistical analyses were performed using ordinal logistic regression for construct validity  and logistic regression for criterion validity. Sensitivity, specificity, positive predictive value (PPV), and negative predictive value (NPV) were calculated. RESULTS: Of the 369 patients with SLE, 92.7% were women, 59.9% were white, 18.4% were Afro-Caribbean and 18.4% were South Asian. Their mean +/- SD age was 41.6 +/- 13.2 years and mean disease duration was 8.8 +/- 7.7 years. More than 1 assessment was obtained on 88.6% of the patients, and a total of 1,510 assessments were obtained. Increasing overall scores on the BILAG-2004 index were associated with increasing ESRs, decreasing C3 levels, decreasing C4 levels, elevated anti-dsDNA levels, and increasing SLEDAI-2K scores (all P < 0.01). Increase in therapy was observed more frequently in patients with overall BILAG-2004 scores reflecting higher disease activity. Scores indicating active disease (overall BILAG-2004 scores of A and B) were significantly associated with increase in therapy (odds ratio [OR] 19.3, P < 0.01). The BILAG-2004 and Classic  BILAG indices had comparable sensitivity, specificity, PPV, and NPV. CONCLUSION:  These findings show that the BILAG-2004 index has construct and criterion validity.;2007-2009
206;Low blood concentration of hydroxychloroquine is a marker for and predictor of disease exacerbations in patients with systemic lupus erythematosus.;2006;Arthritis and rheumatism;Amoura Z;"OBJECTIVE: To study the possible relationship between whole-blood hydroxychloroquine (HCQ) concentrations and clinical efficacy of HCQ in patients  with systemic lupus erythematosus (SLE). METHODS: Whole-blood HCQ concentrations  were measured, under blinded conditions, in 143 unselected patients with SLE who  had been receiving HCQ 400 mg daily for at least 6 months. The relationship of these concentrations to current disease activity and to subsequent exacerbations  during 6 months of followup was investigated. RESULTS: At baseline, 23 patients had active disease (mean +/- SD SLE Disease Activity Index 12.4 +/- 7.5). The mean whole-blood HCQ concentration in this group was significantly lower than that in the 120 patients with inactive disease (694 +/- 448 ng/ml versus 1,079 +/- 526 ng/ml; P = 0.001). Among the 120 patients who had inactive disease at baseline, the mean HCQ concentration at baseline in the 14 (12%) who had disease  exacerbations during followup was significantly lower than that in the patients whose disease remained inactive. Multivariate logistic regression showed that the HCQ concentration was the only predictor of exacerbation (odds ratio 0.4 [95% confidence interval 0.18-0.85], P = 0.01). Receiver operating characteristic curve analysis showed that a whole-blood HCQ concentration cutoff of 1,000 ng/ml  had a negative predictive value of 96% for exacerbation during followup. CONCLUSION: Low whole-blood HCQ concentrations are associated with SLE disease activity and are a strong predictor of disease exacerbation. Regular drug assaying and individual tailoring of treatment might help to improve the efficacy of HCQ treatment in patients with SLE. ";2004-2006
207;Systemic lupus erythematosus in a multiethnic cohort: LUMINA XXXV. Predictive factors of high disease activity over time.;2006;Annals of the rheumatic diseases;Alarcon GS;"AIM: To ascertain the predictive factors of high levels of disease activity in systemic lupus erythematosus (SLE). PATIENTS AND METHODS: Patients with SLE (American College of Radiology criteria), aged >or=16 years, with disease duration <or=5 years and of Hispanic (Texas and Puerto Rico), African American and Caucasian ethnicities, were included. The outcome was high disease activity at any time (Systemic Lupus Activity Measure-Revised >10). A basic multivariable  model (including age, sex, ethnicity, health insurance, social support, abnormal  illness-related behaviours, helplessness and prior disease activity) was first examined. Additional models were built by including other variables. RESULTS: 554 patients (100 Hispanics from Texas, 94 Hispanics from Puerto Rico, 199 African Americans, 161 Caucasians) and 2366 visits were analysed; 47% of the patients and 29% of the visits met the definition of high disease activity (more common among  African Americans (72.0%) and Hispanics from Texas (71.3%) than among Caucasians  (43.9%) and Hispanics from Puerto Rico (31.9%)). Variables found to predict high  levels of disease activity were Hispanic (from Texas) and African American ethnicities, lack of health insurance, helplessness, abnormal illness-related behaviours and poor social support; age was negatively associated with high levels of disease activity. African admixture and anti-double-stranded DNA antibodies also predicted high levels of disease activity, as did prior disease activity. None of the human leucocyte antigen variables were retained in the models. CONCLUSIONS: Socioeconomic-demographic (age, ethnicity, health insurance), behavioural and psychological variables are important mediators of high levels of disease activity in SLE during its course. Interventions aimed at  modifiable factors may improve the outcomes of SLE.";2004-2006
208;A statistical analysis of the interrelationships between disease activity in different systems in systemic lupus erythematosus.;2006;Rheumatology (Oxford, England);Allen E;OBJECTIVES: To develop models for disease activity in patients with systemic lupus erythematosus (SLE) and to examine the hypothesis that possible subsets exist within the disease, notably renal disease and little else, mucocutaneous and musculoskeletal disease in isolation and more multisystem disease. METHODS: Four hundred and forty patients with SLE were followed for a period of 10 yr. Socio-demographic data were obtained at the first visit with disease activity being recorded at subsequent visits and damage scores at 6-monthly intervals. Prognostic factors for active disease in each of the mucocutaneous, musculoskeletal and renal systems were examined statistically. The results were then validated using data collected over 5 yr on a further 295 SLE patients from  a different centre. RESULTS: Logistic regression analyses indicated that for all  three systems studied a patient known to have an involvement in that system is more likely to present with active disease in that same system than a patient with no known prior involvement. Patients with a higher frequency of clinic visits with active disease in a system are more likely to represent with active disease than those with fewer visits. The results suggest that renal disease is most likely to occur on its own. Associations between activity in the mucocutaneous and musculoskeletal systems support the suggestion that patients with musculoskeletal and mucocutaneous disease alone represent a possible subset  of SLE. None of the associations identified were modified by the medication a patient received. CONCLUSIONS: Previous disease history and involvement of other  systems determine a patient's chance of developing further episodes of active disease in SLE.;2004-2006
209;Predictors of post-partum damage accrual in systemic lupus erythematosus: data from LUMINA, a multiethnic US cohort (XXXVIII).;2006;Rheumatology (Oxford, England);Andrade RM;"OBJECTIVE: To determine the impact of pregnancy on systemic lupus erythematosus (SLE) outcome. METHODS: SLE patients, age >or=16 yrs, disease duration <or=5 yrs  at enrolment in LUMINA, a multiethnic cohort (Hispanics, African-Americans and Caucasians), were studied. The first pregnancy after SLE diagnosis was examined.  A good pregnancy outcome was a full-term delivery; an adverse outcome was a miscarriage, abortion, premature birth or stillbirth. Dependent variables were disease activity (Systemic Lupus Activity Measure-Revised, SLAM-R) and damage accrual [Systemic Lupus International Collaborating Clinics (SLICC) Damage Index, SDI]. Differences in these variables between the visit immediately prior to, and  the first visit after, pregnancy and their relationship with pregnancy outcome were examined. Damage accrual due to pregnancy exposure was examined by a case-crossover design. RESULTS: Sixty-three SLE women from all ethnic groups were included. The mean (S.D.) age and disease duration at pregnancy outcome were 27.6 (6.5) yrs and 18.3 (22.5) months, respectively. Adverse pregnancy outcomes occurred in 76.2% women. The SLAM-R and SDI scores were statistically different after pregnancy (P = 0.050 and P < 0.001, respectively); the SDI score was independent of pregnancy outcome but strongly associated with pregnancy duration  (P = 0.006), disease activity (P = 0.001), damage prior to pregnancy (P < 0.001)  and total disease duration (P = 0.039) by multivariable analyses. Exposure to pregnancy itself did not impact on damage accrual in the case-crossover analyses  of 142 patients (17 pregnancy exposures) (OR = 1.25; 95% CI 0.336-4.655; P = 0.480). CONCLUSIONS: Pregnancy duration, total disease duration, disease activity and damage immediately prior to pregnancy decisively impact on damage accrual after pregnancy in patients with SLE.";2004-2006
